Datetime;open;high;low;close;VOL;VB;VS
2022-06-14 10:00:00;116800.0;117180.0;116000.0;116690.0;317;130;187
2022-06-14 10:05:00;116410.0;117980.0;116130.0;117770.0;141;100;41
2022-06-14 10:10:00;117830.0;117980.0;116610.0;116770.0;291;106;185
2022-06-14 10:15:00;116700.0;116700.0;115160.0;115270.0;261;58;203
2022-06-14 10:20:00;115210.0;115210.0;114500.0;114850.0;242;99;143
2022-06-14 10:25:00;114850.0;114850.0;114180.0;114390.0;128;35;93
2022-06-14 10:30:00;114330.0;114450.0;113850.0;113850.0;276;159;117
2022-06-14 10:35:00;113830.0;113830.0;113140.0;113790.0;317;196;121
2022-06-14 10:40:00;113780.0;114260.0;113720.0;114180.0;319;236;83
2022-06-14 10:45:00;114180.0;114810.0;114060.0;114100.0;270;83;187
2022-06-14 10:50:00;114150.0;114880.0;114030.0;114720.0;235;190;45
2022-06-14 10:55:00;114600.0;115250.0;114230.0;115220.0;161;94;67
2022-06-14 11:00:00;115290.0;115500.0;115220.0;115300.0;293;177;116
2022-06-14 11:05:00;115190.0;115460.0;115180.0;115450.0;106;56;50
2022-06-14 11:10:00;115430.0;115440.0;114280.0;114610.0;623;242;381
2022-06-14 11:15:00;114500.0;115510.0;114500.0;115510.0;95;63;32
2022-06-14 11:20:00;115540.0;116050.0;115340.0;116050.0;192;141;51
2022-06-14 11:25:00;116050.0;116050.0;115840.0;116000.0;69;30;39
2022-06-14 11:30:00;115980.0;115990.0;115800.0;115940.0;52;26;26
2022-06-14 11:35:00;115910.0;116180.0;115910.0;116100.0;38;27;11
2022-06-14 11:40:00;116150.0;116200.0;115900.0;115900.0;209;163;46
2022-06-14 11:45:00;115900.0;116350.0;115890.0;116100.0;305;138;167
2022-06-14 11:50:00;116110.0;116400.0;116050.0;116380.0;91;68;23
2022-06-14 11:55:00;116230.0;116430.0;116210.0;116430.0;73;51;22
2022-06-14 12:00:00;116270.0;116520.0;116200.0;116320.0;157;92;65
2022-06-14 12:05:00;116290.0;116320.0;116050.0;116060.0;115;35;80
2022-06-14 12:10:00;116040.0;116490.0;115900.0;116420.0;133;29;104
2022-06-14 12:15:00;116270.0;117000.0;116270.0;117000.0;239;151;88
2022-06-14 12:20:00;117000.0;117000.0;116910.0;117000.0;114;94;20
2022-06-14 12:25:00;116980.0;117300.0;116940.0;117250.0;217;190;27
2022-06-14 12:30:00;117180.0;117300.0;116820.0;116880.0;124;57;67
2022-06-14 12:35:00;116930.0;117900.0;116930.0;117900.0;160;141;19
2022-06-14 12:40:00;117800.0;118000.0;117220.0;117590.0;239;125;114
2022-06-14 12:45:00;117620.0;117900.0;117500.0;117770.0;214;99;115
2022-06-14 12:50:00;117720.0;118360.0;117690.0;118300.0;176;132;44
2022-06-14 12:55:00;118350.0;118610.0;117840.0;117950.0;206;101;105
2022-06-14 13:00:00;117950.0;118030.0;117590.0;117890.0;137;68;69
2022-06-14 13:05:00;117990.0;118000.0;117590.0;117720.0;66;37;29
2022-06-14 13:10:00;117650.0;117790.0;117170.0;117620.0;394;225;169
2022-06-14 13:15:00;117640.0;117740.0;117020.0;117050.0;220;94;126
2022-06-14 13:20:00;117050.0;117050.0;115820.0;116300.0;403;191;212
2022-06-14 13:25:00;116300.0;116300.0;115900.0;116300.0;213;149;64
2022-06-14 13:30:00;116390.0;116910.0;116180.0;116590.0;199;90;109
2022-06-14 13:35:00;116510.0;116510.0;116300.0;116300.0;18;5;13
2022-06-14 13:40:00;116300.0;116300.0;115000.0;115400.0;376;117;259
2022-06-14 13:45:00;115220.0;115350.0;114440.0;114560.0;433;146;287
2022-06-14 13:50:00;114550.0;115420.0;114500.0;115420.0;317;198;119
2022-06-14 13:55:00;115220.0;115220.0;114500.0;114780.0;196;74;122
2022-06-14 14:05:00;114600.0;115350.0;114550.0;114950.0;407;348;59
2022-06-14 14:10:00;115000.0;115470.0;113700.0;114010.0;807;400;407
2022-06-14 14:15:00;113940.0;115120.0;112540.0;114490.0;1384;604;780
2022-06-14 14:20:00;114390.0;115210.0;114120.0;114800.0;337;241;96
2022-06-14 14:25:00;115050.0;115050.0;114570.0;114570.0;194;126;68
2022-06-14 14:30:00;114570.0;114600.0;114010.0;114060.0;100;48;52
2022-06-14 14:35:00;114060.0;115150.0;114060.0;115080.0;235;197;38
2022-06-14 14:40:00;115030.0;115050.0;114410.0;114710.0;50;19;31
2022-06-14 14:45:00;114710.0;115200.0;114710.0;115190.0;124;97;27
2022-06-14 14:50:00;114970.0;115300.0;114770.0;114920.0;213;165;48
2022-06-14 14:55:00;114910.0;115290.0;114850.0;115020.0;177;132;45
2022-06-14 15:00:00;115000.0;115020.0;114500.0;114510.0;147;41;106
2022-06-14 15:05:00;114510.0;114690.0;114510.0;114690.0;120;77;43
2022-06-14 15:10:00;114690.0;115300.0;114690.0;115140.0;231;195;36
2022-06-14 15:15:00;115010.0;115170.0;115000.0;115000.0;52;8;44
2022-06-14 15:20:00;115000.0;115190.0;114930.0;114960.0;41;23;18
2022-06-14 15:25:00;115000.0;115130.0;114870.0;114920.0;58;16;42
2022-06-14 15:30:00;114920.0;115000.0;114670.0;114880.0;64;17;47
2022-06-14 15:35:00;114880.0;115200.0;113400.0;114240.0;939;419;520
2022-06-14 15:40:00;114200.0;114790.0;113850.0;114250.0;109;91;18
2022-06-14 15:45:00;114250.0;114560.0;114230.0;114480.0;50;16;34
2022-06-14 15:50:00;114480.0;114700.0;114220.0;114360.0;65;36;29
2022-06-14 15:55:00;114370.0;114520.0;114000.0;114010.0;59;27;32
2022-06-14 16:00:00;114010.0;114290.0;113890.0;114260.0;64;46;18
2022-06-14 16:05:00;114260.0;114700.0;114230.0;114410.0;61;57;4
2022-06-14 16:10:00;114540.0;114540.0;114040.0;114040.0;25;12;13
2022-06-14 16:15:00;114200.0;114240.0;113810.0;113810.0;57;10;47
2022-06-14 16:20:00;113950.0;114000.0;113500.0;113750.0;137;47;90
2022-06-14 16:25:00;113750.0;113770.0;113750.0;113750.0;54;0;54
2022-06-14 16:30:00;113750.0;113820.0;113750.0;113790.0;40;18;22
2022-06-14 16:35:00;113800.0;113800.0;113700.0;113700.0;83;8;75
2022-06-14 16:40:00;113710.0;113710.0;113620.0;113660.0;96;36;60
2022-06-14 16:45:00;113600.0;113650.0;113550.0;113570.0;97;22;75
2022-06-14 16:50:00;113570.0;113710.0;113570.0;113650.0;50;24;26
2022-06-14 16:55:00;113670.0;113730.0;113570.0;113700.0;47;29;18
2022-06-14 17:00:00;113670.0;114000.0;113670.0;113880.0;74;60;14
2022-06-14 17:05:00;113810.0;113950.0;113700.0;113840.0;30;8;22
2022-06-14 17:10:00;113910.0;113970.0;113810.0;113810.0;36;6;30
2022-06-14 17:15:00;113930.0;114000.0;113760.0;114000.0;70;68;2
2022-06-14 17:20:00;114000.0;114200.0;114000.0;114200.0;62;42;20
2022-06-14 17:25:00;114200.0;114510.0;114200.0;114440.0;70;37;33
2022-06-14 17:30:00;114400.0;114510.0;113780.0;113840.0;83;27;56
2022-06-14 17:35:00;113900.0;114340.0;113900.0;114150.0;39;20;19
2022-06-14 17:40:00;114110.0;114150.0;113960.0;114000.0;96;6;90
2022-06-14 17:45:00;113960.0;114070.0;113900.0;114050.0;67;33;34
2022-06-14 17:50:00;113820.0;114100.0;113650.0;113670.0;75;13;62
2022-06-14 17:55:00;113680.0;113890.0;113680.0;113800.0;31;18;13
2022-06-14 18:00:00;113780.0;114020.0;113650.0;113650.0;59;25;34
2022-06-14 18:05:00;113780.0;114000.0;113650.0;114000.0;116;19;97
2022-06-14 18:10:00;114000.0;114230.0;113950.0;114170.0;43;38;5
2022-06-14 18:15:00;114170.0;114340.0;114130.0;114180.0;73;67;6
2022-06-14 18:20:00;114200.0;114400.0;114020.0;114030.0;66;43;23
2022-06-14 18:25:00;114040.0;114170.0;113850.0;113990.0;51;18;33
2022-06-14 18:30:00;113840.0;114000.0;113700.0;113940.0;92;40;52
2022-06-14 18:35:00;113760.0;114230.0;113750.0;114230.0;152;96;56
2022-06-14 18:40:00;114230.0;114270.0;113960.0;114270.0;79;45;34
2022-06-14 18:45:00;114300.0;114470.0;114220.0;114470.0;53;42;11
2022-06-15 10:00:00;114660.0;115500.0;113670.0;115000.0;608;359;249
2022-06-15 10:05:00;115000.0;115990.0;114660.0;115390.0;655;397;258
2022-06-15 10:10:00;115470.0;115470.0;114620.0;114770.0;456;139;317
2022-06-15 10:15:00;114740.0;114740.0;114200.0;114260.0;277;122;155
2022-06-15 10:20:00;114260.0;114710.0;114040.0;114260.0;401;218;183
2022-06-15 10:25:00;114370.0;114380.0;113860.0;113900.0;333;171;162
2022-06-15 10:30:00;114000.0;114180.0;113840.0;113850.0;415;199;216
2022-06-15 10:35:00;113840.0;113850.0;113400.0;113780.0;564;227;337
2022-06-15 10:40:00;113800.0;114400.0;113730.0;114370.0;615;399;216
2022-06-15 10:45:00;114380.0;114740.0;114180.0;114500.0;450;280;170
2022-06-15 10:50:00;114580.0;114580.0;114280.0;114370.0;346;194;152
2022-06-15 10:55:00;114370.0;114700.0;113860.0;114690.0;561;317;244
2022-06-15 11:00:00;114690.0;115270.0;114690.0;115270.0;727;427;300
2022-06-15 11:05:00;115270.0;115390.0;114960.0;115100.0;587;226;361
2022-06-15 11:10:00;115100.0;115210.0;115100.0;115210.0;301;46;255
2022-06-15 11:15:00;115210.0;115300.0;115110.0;115300.0;228;122;106
2022-06-15 11:20:00;115300.0;115320.0;115000.0;115080.0;357;61;296
2022-06-15 11:25:00;115080.0;115200.0;114830.0;115110.0;271;154;117
2022-06-15 11:30:00;115150.0;115150.0;114800.0;114880.0;174;59;115
2022-06-15 11:35:00;114810.0;115000.0;114300.0;114950.0;474;196;278
2022-06-15 11:40:00;114960.0;115100.0;114820.0;115100.0;250;156;94
2022-06-15 11:45:00;115100.0;115200.0;114910.0;114940.0;254;164;90
2022-06-15 11:50:00;114940.0;115200.0;114940.0;115190.0;102;69;33
2022-06-15 11:55:00;115190.0;115200.0;114960.0;114970.0;143;44;99
2022-06-15 12:00:00;115030.0;115370.0;115020.0;115340.0;328;214;114
2022-06-15 12:05:00;115340.0;115530.0;115100.0;115350.0;441;209;232
2022-06-15 12:10:00;115350.0;115670.0;115000.0;115660.0;331;200;131
2022-06-15 12:15:00;115670.0;116070.0;115660.0;116020.0;504;335;169
2022-06-15 12:20:00;116020.0;116500.0;116000.0;116000.0;610;261;349
2022-06-15 12:25:00;116000.0;116550.0;116000.0;116490.0;408;225;183
2022-06-15 12:30:00;116430.0;116700.0;116340.0;116520.0;312;208;104
2022-06-15 12:35:00;116560.0;116960.0;116510.0;116720.0;507;280;227
2022-06-15 12:40:00;116730.0;116910.0;116610.0;116870.0;559;189;370
2022-06-15 12:45:00;116880.0;117030.0;116720.0;116990.0;693;391;302
2022-06-15 12:50:00;116990.0;117000.0;116800.0;116800.0;424;170;254
2022-06-15 12:55:00;116790.0;116970.0;116560.0;116840.0;412;97;315
2022-06-15 13:00:00;116860.0;116940.0;116630.0;116640.0;236;111;125
2022-06-15 13:05:00;116650.0;116680.0;116300.0;116340.0;566;143;423
2022-06-15 13:10:00;116350.0;116800.0;116340.0;116700.0;452;209;243
